Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2008
Nomemapa=c:\tabwin\br_municip.map
"Município";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
"311270 CAPITAO ENEAS";82;39;0;0;0;0;20;141
"311280 CAPITOLIO";42;30;23;0;2;0;62;159
"311290 CAPUTIRA";0;0;0;0;0;0;0;0
"311300 CARAI";165;68;32;0;0;0;0;265
"311310 CARANAIBA";0;0;0;0;0;0;0;0
"311320 CARANDAI";324;627;26;0;0;0;110;1087
"311330 CARANGOLA";3893;5247;316;3;20;35;2181;11695
"311340 CARATINGA";4994;569;208;0;10;0;1465;7246
"311350 CARBONITA";100;27;0;0;0;0;0;127
"311360 CAREACU";177;193;5;0;0;0;100;475
"311370 CARLOS CHAGAS";130;197;21;0;0;0;120;468
"311380 CARMESIA";0;0;0;0;0;0;0;0
"311390 CARMO DA CACHOEIRA";166;45;6;0;0;0;180;397
"311400 CARMO DA MATA";471;342;4;0;0;0;77;894
"311410 CARMO DE MINAS";63;318;0;0;0;0;59;440
"311420 CARMO DO CAJURU";0;0;0;0;0;0;0;0
"311430 CARMO DO PARANAIBA";324;341;60;0;1;0;147;873
"311440 CARMO DO RIO CLARO";30;85;36;0;0;0;184;335
"311450 CARMOPOLIS DE MINAS";136;90;15;0;0;0;78;319
"311455 CARNEIRINHO";0;0;0;0;0;0;0;0
"311460 CARRANCAS";50;63;1;0;0;0;15;129
"311470 CARVALHOPOLIS";0;0;0;0;0;0;0;0
"311480 CARVALHOS";60;167;0;0;0;0;0;227
"311490 CASA GRANDE";0;0;0;0;0;0;0;0
"311500 CASCALHO RICO";0;0;0;0;0;0;0;0
"311510 CASSIA";544;608;36;0;3;5;327;1523
"311520 CONCEICAO DA BARRA DE MINAS";0;0;0;0;0;0;0;0
"311530 CATAGUASES";2809;1334;139;3;2;29;1321;5637
"311535 CATAS ALTAS";0;0;0;0;0;0;0;0
"311540 CATAS ALTAS DA NORUEGA";0;0;0;0;0;0;0;0
"311545 CATUJI";0;0;0;0;0;0;0;0
"311547 CATUTI";0;0;0;0;0;0;0;0
"311550 CAXAMBU";384;208;44;0;1;8;131;776
"311560 CEDRO DO ABAETE";0;0;0;0;0;0;0;0
"311570 CENTRAL DE MINAS";38;144;0;0;0;0;0;182
"311580 CENTRALINA";0;0;0;0;0;0;0;0
"311590 CHACARA";0;0;0;0;0;0;0;0
"311600 CHALE";0;0;0;0;0;0;0;0
"311610 CHAPADA DO NORTE";0;0;0;0;0;0;0;0
"311615 CHAPADA GAUCHA";0;0;0;0;0;0;0;0
"311620 CHIADOR";0;0;0;0;0;0;0;0
"311630 CIPOTANEA";4;12;0;0;0;0;0;16
"311640 CLARAVAL";0;0;0;0;0;0;0;0
"311650 CLARO DOS POCOES";0;0;0;0;0;0;0;0
"311660 CLAUDIO";423;1057;31;0;0;0;293;1804
"311670 COIMBRA";0;0;0;0;0;0;0;0
"311680 COLUNA";45;95;6;0;0;0;91;237
"311690 COMENDADOR GOMES";0;0;0;0;0;0;0;0
"311700 COMERCINHO";0;0;0;0;0;0;0;0
"311710 CONCEICAO DA APARECIDA";56;21;12;0;0;0;44;133
"311720 CONCEICAO DAS PEDRAS";0;0;0;0;0;0;0;0
"311730 CONCEICAO DAS ALAGOAS";268;212;35;0;0;10;150;675
"311740 CONCEICAO DE IPANEMA";43;8;9;0;0;0;10;70
"311750 CONCEICAO DO MATO DENTRO";249;98;0;0;0;0;86;433
"311760 CONCEICAO DO PARA";0;0;0;0;0;0;0;0
"311770 CONCEICAO DO RIO VERDE";291;47;17;0;0;0;98;453
"311780 CONCEICAO DOS OUROS";0;0;0;0;0;0;0;0
"311783 CONEGO MARINHO";0;0;0;0;0;0;0;0
"311787 CONFINS";0;0;0;0;0;0;0;0
"311790 CONGONHAL";0;0;0;0;0;0;0;0
"311800 CONGONHAS";545;1467;103;2;4;2;297;2420
"311810 CONGONHAS DO NORTE";0;0;0;0;0;0;0;0
"311820 CONQUISTA";41;34;1;0;0;0;18;94
"311830 CONSELHEIRO LAFAIETE";5277;3703;237;0;8;9;1682;10916
"311840 CONSELHEIRO PENA";213;93;20;0;0;0;0;326
"311850 CONSOLACAO";0;0;0;0;0;0;0;0
"311860 CONTAGEM";7558;3400;902;0;26;35;1470;13391
"311870 COQUEIRAL";0;0;0;0;0;0;0;0
"311880 CORACAO DE JESUS";512;237;53;0;2;0;177;981
"311890 CORDISBURGO";0;0;0;0;0;0;0;0
"311900 CORDISLANDIA";0;0;0;0;0;0;0;0
"311910 CORINTO";0;0;0;0;0;0;0;0
"311920 COROACI";1;58;0;0;0;0;1;60
"311930 COROMANDEL";149;411;33;0;0;0;40;633
"311940 CORONEL FABRICIANO";1656;4904;374;0;5;25;955;7919
"311950 CORONEL MURTA";0;0;0;0;0;0;0;0
"311960 CORONEL PACHECO";0;0;0;0;0;0;0;0
"311970 CORONEL XAVIER CHAVES";0;0;0;0;0;0;0;0
"311980 CORREGO DANTA";0;0;0;0;0;0;0;0
"311990 CORREGO DO BOM JESUS";0;0;0;0;0;0;0;0
"311995 CORREGO FUNDO";0;0;0;0;0;0;0;0
"312000 CORREGO NOVO";0;0;0;0;0;0;0;0
"312010 COUTO DE MAGALHAES DE MINAS";0;0;0;0;0;0;0;0
"312015 CRISOLITA";0;0;0;0;0;0;0;0
"312020 CRISTAIS";42;83;24;0;0;0;9;158
"312030 CRISTALIA";0;0;0;0;0;0;0;0
"312040 CRISTIANO OTONI";0;0;0;0;0;0;0;0
"312050 CRISTINA";173;289;5;0;0;0;5;472
"312060 CRUCILANDIA";0;0;0;0;0;0;0;0
"312070 CRUZEIRO DA FORTALEZA";0;0;0;0;0;0;0;0
"312080 CRUZILIA";328;81;22;0;0;0;147;578
"312083 CUPARAQUE";0;0;0;0;0;0;0;0
"312087 CURRAL DE DENTRO";0;0;0;0;0;0;0;0
"312090 CURVELO";3751;1074;213;0;20;18;1370;6446
"312100 DATAS";0;21;0;0;0;0;6;27
"312110 DELFIM MOREIRA";0;0;0;0;0;0;0;0
"312120 DELFINOPOLIS";61;47;5;0;0;0;23;136
"312125 DELTA";0;0;0;0;0;0;0;0
"312130 DESCOBERTO";0;0;0;0;0;0;0;0
"312140 DESTERRO DE ENTRE RIOS";0;0;0;0;0;0;0;0
"312150 DESTERRO DO MELO";0;0;0;0;0;0;0;0
"312160 DIAMANTINA";2614;1462;152;0;1;32;624;4885
"312170 DIOGO DE VASCONCELOS";0;0;0;0;0;0;0;0
"312180 DIONISIO";25;228;0;0;0;0;0;253
"312190 DIVINESIA";0;0;0;0;0;0;0;0
"312200 DIVINO";448;654;11;0;0;0;238;1351
"312210 DIVINO DAS LARANJEIRAS";16;134;0;0;0;0;4;154
"312220 DIVINOLANDIA DE MINAS";0;0;0;0;0;0;0;0
"312230 DIVINOPOLIS";11550;7600;394;12;43;210;3376;23185
"312235 DIVISA ALEGRE";0;0;0;0;0;0;0;0
"312240 DIVISA NOVA";0;0;0;0;0;0;0;0
"312245 DIVISOPOLIS";4;36;0;0;0;0;28;68
"312247 DOM BOSCO";0;0;0;0;0;0;0;0
"312250 DOM CAVATI";0;0;0;0;0;0;0;0
"312260 DOM JOAQUIM";56;68;0;0;0;0;2;126
"312270 DOM SILVERIO";166;259;3;0;0;0;110;538
"312280 DOM VICOSO";0;0;0;0;0;0;0;0
"312290 DONA EUSEBIA";0;0;0;0;0;0;0;0
"312300 DORES DE CAMPOS";0;0;0;0;0;0;0;0
"312310 DORES DE GUANHAES";0;0;0;0;0;0;0;0
"312320 DORES DO INDAIA";155;97;4;0;0;0;175;431
"312330 DORES DO TURVO";0;0;0;0;0;0;0;0
"312340 DORESOPOLIS";0;0;0;0;0;0;0;0
"312350 DOURADOQUARA";0;0;0;0;0;0;0;0
